"","SRR1027171","SRR1027172","SRR1027173","SRR1027174","SRR1027175","SRR1027176","SRR1027177","SRR1027178","SRR1027179","SRR1027180","SRR1027181","SRR1027182","SRR1027183","SRR1027184","SRR1027185","SRR1027186","SRR1027187","SRR1027188","SRR1027189","SRR1027190"
"ENSG00000171346.9",10191,451,231,543,337,1402,127,94,200,62,177,55,292,286,28,230,156,15518,10543,23036
"ENSG00000171345.9",104,1173,4318,5569,2682,6003,11159,13093,14739,3810,12861,7944,1365,574,2386,2076,4021,18773,26367,16457
"ENSG00000226629.1",19,1,54,3,11,13,0,5,9,5,10,4,0,0,0,0,0,5,0,1
"ENSG00000171403.5",19,3,75,31,15,28,9,21,23,11,20,6,0,9,0,1,2,45,11,16
"ENSG00000186847.5",1457,268,151,9303,9640,14223,22,143,393,93,279,82,611,5850,45,68,160,22013,14747,47964
"ENSG00000186832.4",1738,885,327,2397,592,853,23,9,23,31,38,6,19,1767,8,17,28,1983,1854,4879
"ENSG00000128422.11",168,61,47,1283,989,1043,1,31,87,16,57,19,130,132,18,47,40,10636,4933,20949
"ENSG00000173801.12",1359,192,1462,1024,1066,914,1699,1511,1881,839,1483,870,625,1020,734,570,868,8094,12270,13809
"ENSG00000214514.3",39,2,102,7,14,16,17,20,27,19,35,8,0,0,2,0,1,7,1,1
"ENSG00000173812.6",733,265,1177,654,526,635,889,1144,1471,1274,1172,1466,1046,2014,1196,1474,569,42199,29832,38777
"ENSG00000184502.3",14,0,28,4,2,1,2,1,5,4,9,0,0,0,0,0,1,29,1,4
"ENSG00000173805.11",96,8,154,21,34,17,14,46,48,23,46,14,10,2,5,1,7,165,85,214
"ENSG00000201920.1",0,0,0,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0
"ENSG00000239542.2",7,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,4,0
"ENSG00000141696.8",183,95,189,396,178,202,482,372,298,305,308,350,88,32,74,37,126,152,308,195
"ENSG00000141756.14",515,562,737,3463,932,1077,2507,730,805,1376,1245,1450,381,89,186,202,680,2455,3570,2721
"ENSG00000141698.12",344,104,141,493,300,260,486,492,549,134,535,256,72,267,77,42,95,678,734,451
"ENSG00000161594.6",17,1,15,6,1,3,5,2,16,7,12,1,1,4,0,0,1,3,6,7
"ENSG00000263830.1",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"ENSG00000259623.1",295,57,167,182,128,179,368,442,464,288,482,402,159,600,288,167,125,243,195,403
"ENSG00000178502.5",297,45,151,221,163,146,375,484,463,208,482,384,140,560,291,136,113,85,103,164
"ENSG00000131473.12",2150,569,2022,1730,1712,1491,3171,3071,3384,1448,4055,1913,1692,3426,2032,1483,1342,3476,4279,4882
"ENSG00000204815.4",18,0,47,2,4,6,6,27,14,14,25,24,5,3,3,0,2,27,21,28
"ENSG00000173786.12",1033,254,483,741,693,535,997,674,670,639,670,612,391,1054,474,373,457,1591,1696,1869
"ENSG00000168259.10",423,70,231,246,232,218,338,358,415,259,456,311,347,552,326,238,117,1384,1028,990
"ENSG00000168256.13",311,95,178,348,305,236,534,435,475,236,422,208,165,306,189,124,158,1184,773,1017
"ENSG00000187595.10",81,3,49,20,14,19,33,38,42,20,48,14,7,31,23,3,3,115,297,116
"ENSG00000270010.1",1,2,1,5,3,1,2,6,4,5,10,1,1,1,4,2,0,5,11,6
"ENSG00000267221.1",6,0,2,5,3,0,4,7,8,2,10,3,4,2,3,1,1,13,27,16
